date,rows,valid_prob,up20,up25,up30,up35,up40,up42_5,up45,up50,up55,up60,mean_up,median_up,max_up
2026-07-28,92,92,92,92,85,6,0,0,0,0,0,0,32.29553253622954,32.19878550618881,36.08524141341894
2026-07-29,92,92,92,92,92,31,0,0,0,0,0,0,34.3992802099908,34.27089741632054,38.18347002705041
2026-07-30,92,92,92,92,91,39,0,0,0,0,0,0,34.74003866276521,34.617204597500304,39.38403576063831
2026-07-31,92,92,92,90,4,0,0,0,0,0,0,0,27.66427933500731,27.573702357460345,30.701671016383177
2026-08-03,92,92,92,92,17,0,0,0,0,0,0,0,28.721999828895772,28.64822246172506,33.274689586539594
2026-08-04,92,92,92,90,46,0,0,0,0,0,0,0,29.650550073083785,30.115851600636,33.35569852447358
2026-08-05,92,92,92,89,19,0,0,0,0,0,0,0,28.6004460176412,28.745104791786545,33.01191656015064
2026-08-06,92,92,92,92,58,0,0,0,0,0,0,0,30.36958745405425,30.72681858931074,33.50474667493252
2026-08-07,92,92,92,92,59,0,0,0,0,0,0,0,30.6374382900393,30.87568864767789,34.80306716587554
2026-08-10,92,92,92,92,75,1,0,0,0,0,0,0,30.92849651366157,31.04158208907727,35.09314084136071
2026-08-12,92,92,92,92,85,34,0,0,0,0,0,0,34.06959107393097,34.05156530518845,39.69260253196946
2026-08-13,92,92,92,92,87,28,1,0,0,0,0,0,33.819345989539514,33.59881956124653,40.12788557465576
2026-08-14,92,92,92,92,92,50,0,0,0,0,0,0,35.54242784838787,35.37103086714287,38.941393508974656
2026-08-17,42,42,42,42,42,35,11,0,0,0,0,0,37.99512791239545,38.46392183623692,42.25044096125784
2026-08-18,29,29,29,29,29,29,12,6,0,0,0,0,40.09148263407847,39.712807813616685,44.58649488716895
2026-08-19,1,1,1,1,0,0,0,0,0,0,0,0,29.755454684216176,29.755454684216176,29.755454684216176
2026-08-20,1,1,1,1,0,0,0,0,0,0,0,0,27.846204864821477,27.846204864821477,27.846204864821477
